COUNTRY,COUNTRY_CODE,GHE_CAUSE_TITLE,YEAR,DEATHS_100K
Australia,AUS,Mouth and oropharynx cancers,2015,4.139519082
Australia,AUS,Mouth and oropharynx cancers,2019,3.859445523
Australia,AUS,Multiple sclerosis,2000,0.55970527
Australia,AUS,Multiple sclerosis,2005,0.645911115
Australia,AUS,Multiple sclerosis,2010,0.581908894
Australia,AUS,Multiple sclerosis,2015,0.738253945
Australia,AUS,Multiple sclerosis,2019,0.737084739
Australia,AUS,Natural disasters,2000,0
Australia,AUS,Natural disasters,2005,0.002236713
Australia,AUS,Natural disasters,2010,0.004876052
Australia,AUS,Natural disasters,2015,0.015056551
Australia,AUS,Natural disasters,2019,0
Australia,AUS,Neonatal conditions,2000,3.483053407
Australia,AUS,Neonatal conditions,2005,3.383078545
Australia,AUS,Neonatal conditions,2010,3.039759054
Australia,AUS,Neonatal conditions,2015,2.209278638
Australia,AUS,Neonatal conditions,2019,2.103926589
Australia,AUS,Non-migraine headache,2000,0
Australia,AUS,Non-migraine headache,2005,0
Australia,AUS,Non-migraine headache,2010,0
Australia,AUS,Non-migraine headache,2015,0
Australia,AUS,Non-migraine headache,2019,0
Australia,AUS,Oesophagus cancer,2000,5.524638513
Australia,AUS,Oesophagus cancer,2005,6.136679586
Australia,AUS,Oesophagus cancer,2010,6.100468384
Australia,AUS,Oesophagus cancer,2015,6.152810131
Australia,AUS,Oesophagus cancer,2019,5.927056227
Australia,AUS,Onchocerciasis,2000,0
Australia,AUS,Onchocerciasis,2005,0
Australia,AUS,Onchocerciasis,2010,0
Australia,AUS,Onchocerciasis,2015,0
Australia,AUS,Onchocerciasis,2019,0
Australia,AUS,Oral conditions,2000,0.055594954
Australia,AUS,Oral conditions,2005,0.081413594
Australia,AUS,Oral conditions,2010,0.064582438
Australia,AUS,Oral conditions,2015,0.121232572
Australia,AUS,Oral conditions,2019,0.151732804
Australia,AUS,Osteoarthritis,2000,0.550339106
Australia,AUS,Osteoarthritis,2005,0.389705213
Australia,AUS,Osteoarthritis,2010,0.460378068
Australia,AUS,Osteoarthritis,2015,0.591858477
Australia,AUS,Osteoarthritis,2019,0.453557453
Australia,AUS,Other hearing loss,2000,0
Australia,AUS,Other hearing loss,2005,0
Australia,AUS,Other hearing loss,2010,0
Australia,AUS,Other hearing loss,2015,0
Australia,AUS,Other hearing loss,2019,0.006368183
Australia,AUS,Other vision loss,2000,0
Australia,AUS,Other vision loss,2005,0
Australia,AUS,Other vision loss,2010,0
Australia,AUS,Other vision loss,2015,0
Australia,AUS,Other vision loss,2019,0
Australia,AUS,Otitis media,2000,0.014552835
Australia,AUS,Otitis media,2005,0.003777795
Australia,AUS,Otitis media,2010,0.003498998
Australia,AUS,Otitis media,2015,0.003585183
Australia,AUS,Otitis media,2019,0.019642248
Australia,AUS,Ovary cancer,2000,4.042671522
Australia,AUS,Ovary cancer,2005,4.074064966
Australia,AUS,Ovary cancer,2010,4.070899797
Australia,AUS,Ovary cancer,2015,3.90059339
Australia,AUS,Ovary cancer,2019,3.97035017
Australia,AUS,Pancreas cancer,2000,9.060736477
Australia,AUS,Pancreas cancer,2005,10.06705149
Australia,AUS,Pancreas cancer,2010,10.92225641
Australia,AUS,Pancreas cancer,2015,11.68232794
Australia,AUS,Pancreas cancer,2019,12.37073818
Australia,AUS,Pancreatitis,2000,0.944319323
Australia,AUS,Pancreatitis,2005,0.89850284
Australia,AUS,Pancreatitis,2010,0.965275555
Australia,AUS,Pancreatitis,2015,0.937785131
Australia,AUS,Pancreatitis,2019,1.044978669
Australia,AUS,Paralytic ileus and intestinal obstruction,2000,1.904548219
Australia,AUS,Paralytic ileus and intestinal obstruction,2005,2.251608667
Australia,AUS,Paralytic ileus and intestinal obstruction,2010,2.508053095
Australia,AUS,Paralytic ileus and intestinal obstruction,2015,3.028088195
Australia,AUS,Paralytic ileus and intestinal obstruction,2019,3.120220313
Australia,AUS,Parkinson disease,2000,4.25844922
Australia,AUS,Parkinson disease,2005,4.963900724
Australia,AUS,Parkinson disease,2010,5.540902541
Australia,AUS,Parkinson disease,2015,7.375703235
Australia,AUS,Parkinson disease,2019,8.077152084
Australia,AUS,Peptic ulcer disease,2000,2.405899865
Australia,AUS,Peptic ulcer disease,2005,1.714011522
Australia,AUS,Peptic ulcer disease,2010,1.295563043
Australia,AUS,Peptic ulcer disease,2015,1.056157596
Australia,AUS,Peptic ulcer disease,2019,1.089752512
Australia,AUS,Poisonings,2000,0.368607242
Australia,AUS,Poisonings,2005,0.272039349
Australia,AUS,Poisonings,2010,0.141942597
Australia,AUS,Poisonings,2015,0.137406507
Australia,AUS,Poisonings,2019,0.133155484
Australia,AUS,Prostate cancer,2000,14.88933806
Australia,AUS,Prostate cancer,2005,15.79444865
Australia,AUS,Prostate cancer,2010,16.05937101
Australia,AUS,Prostate cancer,2015,14.84883767
Australia,AUS,Prostate cancer,2019,14.94511729
Australia,AUS,Protein-energy malnutrition,2000,0.332310004
Australia,AUS,Protein-energy malnutrition,2005,0.364228602
Australia,AUS,Protein-energy malnutrition,2010,0.404952009
Australia,AUS,Protein-energy malnutrition,2015,0.400932205
Australia,AUS,Protein-energy malnutrition,2019,0.457680382
Australia,AUS,Rabies,2000,0
Australia,AUS,Rabies,2005,0
Australia,AUS,Rabies,2010,0
Australia,AUS,Rabies,2015,0
Australia,AUS,Rabies,2019,0
Australia,AUS,Rheumatic heart disease,2000,1.321832743
Australia,AUS,Rheumatic heart disease,2005,1.350155336
Australia,AUS,Rheumatic heart disease,2010,1.48352833
Australia,AUS,Rheumatic heart disease,2015,1.772031425
Australia,AUS,Rheumatic heart disease,2019,1.502203815
Australia,AUS,Rheumatoid arthritis,2000,0.910985453
Australia,AUS,Rheumatoid arthritis,2005,0.852839345
Australia,AUS,Rheumatoid arthritis,2010,0.836276247
Australia,AUS,Rheumatoid arthritis,2015,0.79683064
Australia,AUS,Rheumatoid arthritis,2019,0.903350944
Australia,AUS,Road injury,2000,9.862065303
Australia,AUS,Road injury,2005,8.306528162
Australia,AUS,Road injury,2010,6.554166601
Australia,AUS,Road injury,2015,5.196053032
Australia,AUS,Road injury,2019,4.93839595
Australia,AUS,Schistosomiasis,2000,0
Australia,AUS,Schistosomiasis,2005,0
Australia,AUS,Schistosomiasis,2010,0
Australia,AUS,Schistosomiasis,2015,0
Australia,AUS,Schistosomiasis,2019,0
Australia,AUS,Schizophrenia,2000,0.142967993
Australia,AUS,Schizophrenia,2005,0.21356821
Australia,AUS,Schizophrenia,2010,0.316504165
Australia,AUS,Schizophrenia,2015,0.183021142
Australia,AUS,Schizophrenia,2019,0.251393835
Australia,AUS,Self-harm,2000,12.69743345
Australia,AUS,Self-harm,2005,11.16154351
Australia,AUS,Self-harm,2010,11.68432021
Australia,AUS,Self-harm,2015,13.22333491
Australia,AUS,Self-harm,2019,12.49874648
